1 3265
1 1707
1 2958
1 1409
1 682
1 200
1 2818
1 713
1 1986
1 2994
1 1379
1 1786
1 2907
1 72
1 1047
1 2798
1 2547
1 3513
1 2944
1 2750
1 2018
1 2877
1 707
1 3823
1 2361
1 2845
1 1540
1 3056
1 628
1 2919
1 929
1 3858
1 2247
1 2168
1 1719
1 1795
1 3487
1 3340
1 195
1 883
1 1278
1 3328
2 386
2 1963
2 228
2 745
2 1857
2 2595
2 1006
2 1335
2 1135
2 132
2 530
2 1347
2 2689
2 2540
3 72
3 1047
3 2547
3 3539
3 2944
3 2750
3 2018
3 2877
3 1540
3 3056
3 3858
3 1795
3 265
3 2123
3 195
3 711
3 2159
3 1573
3 628
3 1893
3 883
3 1278
3 223
3 2247
3 2622
3 3138
3 998
3 2222
3 800
3 1719
3 1783
3 3340
3 583
3 929
3 1164
3 3328
3 293
3 2155
3 1056
3 3302
3 2914
3 1491
4 2415
4 2011
4 1776
4 3983
4 1127
4 2883
4 1339
4 174
4 152
4 1334
4 2623
4 443
4 2306
4 266
4 1615
4 1141
4 2205
4 1155
5 3712
6 307
6 1311
6 21
6 3560
6 120
6 1850
6 900
6 173
6 2632
6 3165
6 3759
6 3746
6 2705
6 3012
6 1804
6 3657
6 3922
6 2175
6 4039
6 41
6 1173
6 3540
6 2590
6 347
6 3596
6 2553
6 3576
6 4035
6 3194
6 1557
6 3868
6 884
6 1926
6 3881
6 533
6 1340
6 1547
6 3030
6 2196
6 3914
6 273
6 3681
6 3886
6 1049
6 2967
6 3526
6 3602
7 3889
7 3134
7 3100
7 2106
7 3510
7 2391
7 1181
7 3282
7 741
7 3126
8 1925
8 2965
8 4007
8 2064
8 3145
8 3533
9 2085
9 3970
9 3545
9 3403
9 34
9 886
9 278
9 2728
9 857
9 279
9 599
9 3025
9 2036
9 1855
9 3873
9 3501
9 1499
9 593
9 861
9 1023
9 645
9 1076
9 1079
9 1421
9 1156
9 3425
9 3708
9 3820
9 3407
9 527
9 2147
9 1165
9 373
9 1432
10 2285
10 221
10 870
10 2889
10 1292
10 3484
10 2320
10 3071
10 2046
10 2503
10 1218
10 3626
10 2721
10 1297
10 1661
10 2440
10 660
10 1856
11 3299
11 810
11 3254
11 531
11 2303
11 3306
11 327
11 2389
11 295
11 1396
11 698
11 2731
11 2763
11 3297
11 2186
11 3276
11 803
11 364
11 727
11 1284
11 1914
11 1113
11 3325
11 804
11 1484
11 1624
11 31
11 3094
11 1293
11 662
11 3786
11 944
11 2074
11 1808
11 111
11 597
11 3524
11 263
11 1530
11 798
11 3752
11 1460
11 151
11 3607
11 608
11 1450
11 393
11 1482
11 240
11 1522
11 2593
11 2217
11 3764
11 1619
11 1267
11 2543
11 3797
11 4025
11 584
11 1693
11 1524
11 567
11 2080
11 2906
11 3831
11 2683
11 1602
11 3930
11 2467
11 2422
11 3437
11 1694
11 1621
11 207
11 1186
11 313
11 394
12 2901
12 3806
12 1875
12 3561
12 2282
12 3183
12 2075
12 1317
12 1589
12 267
12 2456
12 3502
12 3872
12 1959
12 1758
12 2284
12 762
12 3346
12 2126
12 3942
12 2887
12 2899
12 1772
12 51
12 2942
12 2652
12 2698
12 2736
12 880
12 1148
12 93
12 2777
12 1877
12 3249
12 339
12 2073
12 1950
12 3206
12 1861
12 843
12 1755
12 1462
12 2462
12 1951
12 1251
12 455
12 3631
12 972
12 1498
12 442
12 157
12 1796
12 2278
12 1688
12 1097
12 237
12 3900
12 835
12 1096
12 489
12 3357
12 2083
12 505
12 952
12 2099
12 989
12 1065
12 3672
12 3511
12 3257
12 1109
12 55
12 2248
12 562
13 2201
14 1817
14 1442
14 3857
14 3483
14 2334
14 3031
14 3178
14 1465
14 3811
14 2262
14 801
14 1366
14 962
14 464
14 3436
14 2277
14 524
14 143
14 2576
14 2896
14 958
14 2630
14 776
14 2748
14 2086
14 1012
14 3921
14 2348
14 2425
14 2649
14 2765
14 2218
14 1716
14 2197
14 1641
14 651
14 2812
14 310
14 3068
14 1839
14 4018
14 3131
14 3879
14 2871
14 1860
14 3269
14 126
14 2171
14 3537
14 1095
14 2900
14 3160
14 747
14 1094
14 1618
14 1424
14 3678
14 4008
14 3767
14 3731
14 561
14 3190
14 3629
14 3297
14 1356
14 295
14 2763
14 3150
14 371
14 3834
14 354
14 3123
14 1908
14 284
14 2598
14 3326
14 2374
14 2221
14 1214
14 2731
14 855
14 2419
